Currency,Date,Time,Open,High,Low,Close,Volume
ZEC,2016-10-31,22:00:00,2.9999995,3.4,2.37,2.5751,925.7339084099999
ZEC,2016-10-31,23:00:00,2.5751,2.59999993,2.06584772,2.29999999,504.7513799
ZEC,2016-11-01,00:00:00,2.29999999,2.32,1.785,1.80720814,206.04243595000003
ZEC,2016-11-01,01:00:00,1.80720815,2.25,1.685,1.86000001,178.51393831000001
ZEC,2016-11-01,02:00:00,1.86652775,1.9322,1.59798518,1.71,134.89004776
ZEC,2016-11-01,03:00:00,1.69001,2.37,1.601,2.31077701,192.70664230999998
ZEC,2016-11-01,04:00:00,2.31077701,2.53999999,2.02,2.14,290.44447234999996
ZEC,2016-11-01,05:00:00,2.14,2.3899,2.01,2.20200103,133.94861455
ZEC,2016-11-01,06:00:00,2.3,2.4954,2.13000101,2.24000001,132.72114487000002
ZEC,2016-11-01,07:00:00,2.24,2.399777,1.83,2.01100001,192.26349212999997
ZEC,2016-11-01,08:00:00,2.01999995,2.44179333,1.95,2.4,346.1463248499999
ZEC,2016-11-01,09:00:00,2.39000019,2.66417999,2.34,2.523,414.31521967
ZEC,2016-11-01,10:00:00,2.523,2.82,2.330005,2.775,444.11388927
ZEC,2016-11-01,11:00:00,2.775,2.79999998,2.534,2.6,238.18621133
ZEC,2016-11-01,12:00:00,2.586,2.72000425,2.37141666,2.61500009,229.53763376
ZEC,2016-11-01,13:00:00,2.615,2.71246001,2.52,2.59113104,168.24828754
ZEC,2016-11-01,14:00:00,2.591,2.59399999,2.15,2.24700501,450.93916266
ZEC,2016-11-01,15:00:00,2.26853999,2.40000019,2.2,2.24039501,219.81159738
ZEC,2016-11-01,16:00:00,2.24040001,2.29999,2.025,2.14,197.33468299
ZEC,2016-11-01,17:00:00,2.13819067,2.25499499,2.03456789,2.06,147.20530993
ZEC,2016-11-01,18:00:00,2.07,2.249985,2.06000006,2.15978317,91.38576632
ZEC,2016-11-01,19:00:00,2.15978317,2.20000001,2.05,2.08749999,96.87901828999999
ZEC,2016-11-01,20:00:00,2.06579114,2.10419997,1.8,1.85,194.39694174000002
ZEC,2016-11-01,21:00:00,1.84556064,1.995,1.8,1.918679,156.59810750999998
ZEC,2016-11-01,22:00:00,1.918679,2.10000501,1.86688221,1.88202,162.13851463999998
ZEC,2016-11-01,23:00:00,1.88202,1.9458711,1.80000001,1.82000002,90.68099984
ZEC,2016-11-02,00:00:00,1.82000002,1.86,1.701,1.78010017,113.04020910000001
ZEC,2016-11-02,01:00:00,1.78010018,1.799979,1.35,1.46048852,349.55694387
ZEC,2016-11-02,02:00:00,1.46049852,1.58529998,1.44002758,1.56,113.43153975
ZEC,2016-11-02,03:00:00,1.55899993,1.56999996,1.433,1.46867291,65.63578925
ZEC,2016-11-02,04:00:00,1.46867293,1.49,1.35000022,1.351,61.706462939999994
ZEC,2016-11-02,05:00:00,1.351,1.479999,1.31,1.4,88.59576665
ZEC,2016-11-02,06:00:00,1.39899991,1.742,1.36128546,1.57,154.75869829
ZEC,2016-11-02,07:00:00,1.57,1.60999999,1.43,1.45999999,66.45519046
ZEC,2016-11-02,08:00:00,1.45999999,1.69,1.44,1.5070854,81.76840295
ZEC,2016-11-02,09:00:00,1.50496439,1.69924468,1.5,1.63500001,153.67813671
ZEC,2016-11-02,10:00:00,1.63500001,1.670005,1.583,1.5999,60.07391966000001
ZEC,2016-11-02,11:00:00,1.59800025,1.619995,1.45101,1.515,93.35019249
ZEC,2016-11-02,12:00:00,1.52,1.55232,1.37300001,1.423925,97.37758249
ZEC,2016-11-02,13:00:00,1.42,1.44,1.3603,1.41500472,79.30327242999999
ZEC,2016-11-02,14:00:00,1.41201,1.48,1.36600004,1.38,81.00161744
ZEC,2016-11-02,15:00:00,1.3785,1.3808,1.18999002,1.230005,189.32443370000001
ZEC,2016-11-02,16:00:00,1.22102002,1.318999,1.21302501,1.246,66.73499149
ZEC,2016-11-02,17:00:00,1.246,1.28982,1.18,1.18400001,91.74329403
ZEC,2016-11-02,18:00:00,1.18400001,1.8,1.184,1.78,551.31526441
ZEC,2016-11-02,19:00:00,1.78000001,2.1,1.57678354,1.62000501,772.2979309100001
ZEC,2016-11-02,20:00:00,1.6205,1.66201352,1.39989023,1.4997,193.10374309
ZEC,2016-11-02,21:00:00,1.4997,1.49989999,1.2765,1.31498997,131.61216714000003
