Currency,Date,Time,Open,High,Low,Close,Volume
ETH,2016-06-30,21:00:00,0.01860351,0.01865,0.01857178,0.0186,128.20334346
ETH,2016-06-30,22:00:00,0.0186,0.01899506,0.018504,0.018581,534.1430356699999
ETH,2016-06-30,23:00:00,0.018581,0.018615,0.01845,0.0185,207.45818912000001
ETH,2016-07-01,00:00:00,0.01849999,0.01862,0.01843558,0.01855071,301.93718691
ETH,2016-07-01,01:00:00,0.01855089,0.0186,0.01843,0.01843004,215.63048547000002
ETH,2016-07-01,02:00:00,0.01843001,0.01848083,0.01819877,0.01830998,597.4598254
ETH,2016-07-01,03:00:00,0.01830094,0.01837997,0.01803,0.01806,487.6066208
ETH,2016-07-01,04:00:00,0.018044,0.01816079,0.01789185,0.017966,508.01572017000007
ETH,2016-07-01,05:00:00,0.01797339,0.01814747,0.0179561,0.01801999,239.55661278
ETH,2016-07-01,06:00:00,0.017995,0.01810513,0.01784614,0.017951,354.9222981
ETH,2016-07-01,07:00:00,0.01795099,0.0183,0.01787901,0.01807836,477.64044464
ETH,2016-07-01,08:00:00,0.01806027,0.0182655,0.01800145,0.01801497,322.09324635999997
ETH,2016-07-01,09:00:00,0.01802002,0.018096,0.01785708,0.01801391,218.30028066999998
ETH,2016-07-01,10:00:00,0.01801269,0.01801693,0.01783482,0.0178992,232.38955780999999
ETH,2016-07-01,11:00:00,0.01789803,0.0179,0.01750161,0.01761404,1021.5289876700001
ETH,2016-07-01,12:00:00,0.01762836,0.017744,0.017221,0.01754554,1967.4583665599998
ETH,2016-07-01,13:00:00,0.01754571,0.0178,0.0175058,0.01769029,515.33371958
ETH,2016-07-01,14:00:00,0.01768954,0.01803387,0.01766777,0.01795,1020.8537759699999
ETH,2016-07-01,15:00:00,0.01795,0.01797824,0.017626,0.01774225,249.46630503000003
ETH,2016-07-01,16:00:00,0.01773844,0.01773844,0.0176,0.01762529,223.21639143999997
ETH,2016-07-01,17:00:00,0.01761285,0.0177,0.0174997,0.01760979,496.11975949
ETH,2016-07-01,18:00:00,0.01760979,0.01807985,0.01758851,0.01779513,787.7036883200001
ETH,2016-07-01,19:00:00,0.01779513,0.01806917,0.01772567,0.01796254,310.42504653000003
ETH,2016-07-01,20:00:00,0.01796349,0.01800011,0.017871,0.01798582,148.87677857
ETH,2016-07-01,21:00:00,0.01798106,0.01838725,0.01787114,0.01818511,570.2020746
ETH,2016-07-01,22:00:00,0.01818511,0.01838554,0.01805994,0.01815717,545.4383017399999
ETH,2016-07-01,23:00:00,0.01815718,0.01829,0.01803317,0.018098,130.72689492
ETH,2016-07-02,00:00:00,0.01809955,0.0181,0.01784108,0.01787,282.68757143
ETH,2016-07-02,01:00:00,0.0178706,0.017881,0.01755555,0.01782495,373.17067275
ETH,2016-07-02,02:00:00,0.01782546,0.01784183,0.017601,0.01769104,137.18216099
ETH,2016-07-02,03:00:00,0.0176903,0.018038,0.01767488,0.018038,273.05918323000003
ETH,2016-07-02,04:00:00,0.01803421,0.0181,0.0176999,0.01778509,210.66527621999998
ETH,2016-07-02,05:00:00,0.01778509,0.01784869,0.017734,0.01777578,120.37374385000001
ETH,2016-07-02,06:00:00,0.01778316,0.0179,0.017736,0.01776497,54.56372363
ETH,2016-07-02,07:00:00,0.01777268,0.01792342,0.01775583,0.0178085,92.8114572
ETH,2016-07-02,08:00:00,0.01779395,0.01784703,0.01761101,0.01776339,167.68726806999996
ETH,2016-07-02,09:00:00,0.01776457,0.01778108,0.01742678,0.01748504,513.92327134
ETH,2016-07-02,10:00:00,0.01748095,0.01757,0.01727173,0.01741,521.34391441
ETH,2016-07-02,11:00:00,0.01740915,0.01745,0.01719943,0.01736142,528.17551511
ETH,2016-07-02,12:00:00,0.01736142,0.01747497,0.01724001,0.01731832,288.39113448
ETH,2016-07-02,13:00:00,0.01732051,0.01734,0.01723968,0.01729536,163.82913223
ETH,2016-07-02,14:00:00,0.01729536,0.01745552,0.017153,0.01741645,375.708324
ETH,2016-07-02,15:00:00,0.01741055,0.017544,0.01736001,0.01745598,243.68118674000002
ETH,2016-07-02,16:00:00,0.01745511,0.01752017,0.0174,0.01749473,208.03675355000001
ETH,2016-07-02,17:00:00,0.01749473,0.017524,0.01736287,0.01736335,116.32252349000001
ETH,2016-07-02,18:00:00,0.01736335,0.0174,0.0172,0.017365,214.02528492
ETH,2016-07-02,19:00:00,0.017365,0.017486,0.017319,0.01736066,164.85565603999999
