Currency,Date,Time,Open,High,Low,Close,Volume
ZEC,2016-11-01,16:15:00,2.10000002,2.17643681,2.025,2.027,53.780886210000006
ZEC,2016-11-01,16:30:00,2.03,2.19759501,2.025,2.140005,61.79298908999999
ZEC,2016-11-01,16:45:00,2.14998,2.2,2.14,2.14,26.8500498
ZEC,2016-11-01,17:00:00,2.13819067,2.13999999,2.03456789,2.05998998,27.41473918
ZEC,2016-11-01,17:15:00,2.03999994,2.15,2.036,2.117,27.956211109999998
ZEC,2016-11-01,17:30:00,2.10000502,2.25499499,2.09,2.15,58.9900279
ZEC,2016-11-01,17:45:00,2.15,2.164995,2.04,2.06,32.84433174
ZEC,2016-11-01,18:00:00,2.07,2.12572999,2.060005,2.099995,12.11206761
ZEC,2016-11-01,18:15:00,2.091005,2.249985,2.06000006,2.22589444,24.18277511
ZEC,2016-11-01,18:30:00,2.22589444,2.231856,2.15,2.231856,31.884140589999998
ZEC,2016-11-01,18:45:00,2.21203377,2.24836799,2.15978317,2.15978317,23.206783010000002
ZEC,2016-11-01,19:00:00,2.15978317,2.15978317,2.052,2.090105,27.332601439999998
ZEC,2016-11-01,19:15:00,2.090105,2.20000001,2.09,2.16200005,35.53010885
ZEC,2016-11-01,19:30:00,2.16200005,2.18099999,2.08404835,2.1,17.70314452
ZEC,2016-11-01,19:45:00,2.08800001,2.15000502,2.05,2.08749999,16.31316348
ZEC,2016-11-01,20:00:00,2.06579114,2.10419997,2.0588,2.06,11.94784984
ZEC,2016-11-01,20:15:00,2.06,2.07,1.95,1.95000001,43.97370938
ZEC,2016-11-01,20:30:00,1.95,1.96,1.8,1.862,98.25149589
ZEC,2016-11-01,20:45:00,1.87,1.96,1.84500503,1.85,40.223886629999996
ZEC,2016-11-01,21:00:00,1.84556064,1.995,1.83,1.987,32.863867400000004
ZEC,2016-11-01,21:15:00,1.99,1.99086119,1.8,1.87,67.77549298
ZEC,2016-11-01,21:30:00,1.870005,1.89720194,1.81344099,1.85001,21.33616352
ZEC,2016-11-01,21:45:00,1.85055798,1.9296655,1.816,1.918679,34.62258361
ZEC,2016-11-01,22:00:00,1.918679,2.04800499,1.900005,2.03,39.115364920000005
ZEC,2016-11-01,22:15:00,2.049,2.10000501,2.01388003,2.03,57.35647567
ZEC,2016-11-01,22:30:00,2.03,2.03846,1.86688221,1.880005,50.52186501
ZEC,2016-11-01,22:45:00,1.88003001,1.93133831,1.88003,1.88202,15.14480904
ZEC,2016-11-01,23:00:00,1.88202,1.91999499,1.85639964,1.88010001,16.55582288
ZEC,2016-11-01,23:15:00,1.8801001,1.9458711,1.871,1.87100503,19.879130689999997
ZEC,2016-11-01,23:30:00,1.87100503,1.87100504,1.80000001,1.82996398,38.02884391
ZEC,2016-11-01,23:45:00,1.81002001,1.91000001,1.81002,1.82000002,16.21720236
ZEC,2016-11-02,00:00:00,1.82000002,1.82960599,1.756,1.756005,32.53455985
ZEC,2016-11-02,00:15:00,1.756,1.77057008,1.7276,1.7276,24.176600330000003
ZEC,2016-11-02,00:30:00,1.73037199,1.78,1.701,1.72000002,21.695940300000004
ZEC,2016-11-02,00:45:00,1.72000002,1.86,1.72,1.78010017,34.63310862
ZEC,2016-11-02,01:00:00,1.78010018,1.799979,1.73100002,1.764995,16.75172526
ZEC,2016-11-02,01:15:00,1.73153002,1.74902424,1.43,1.5409974,177.47986265
